Age,Gender,Company,Education_level,Asset,Domestic_Stock_Ratio,Foreign_Stock_Ratio,Cash_Ratio
25,F,M-able,High School,5100000,0.8,0.19,0.01
20,M,M-able,University,3400000,0.74,0.14,0.12
23,M,Toss,University,3000000,0.67,0.12,0.21
23,F,namuh,University,1300000,0.4,0.37,0.23
27,F,Toss,University,5400000,0.31,0.09,0.6
29,M,M-able,University,6300000,0.95,0.03,0.02
23,M,Mpop,University,1900000,0.35,0.25,0.4
25,M,Toss,University,5400000,0.1,0.02,0.88
22,M,Mpop,Under Middle,2300000,0.79,0.13,0.08
24,F,Toss,High School,900000,0.91,0,0.09
27,M,Mpop,University,7800000,0.37,0.56,0.07
26,M,Toss,University,4500000,0.02,0.3,0.68
28,M,Mpop,University,3600000,0.75,0.02,0.23
28,F,M-able,University,4700000,0.66,0.1,0.24
21,M,Toss,Under Middle,3200000,0.18,0.62,0.2
26,M,Toss,High School,7300000,0.33,0.56,0.11
27,F,Mpop,High School,8900000,0.48,0.51,0.01
27,M,M-able,University,9400000,0.38,0.23,0.39
28,F,M-able,Under Middle,2200000,0.44,0.24,0.32
21,M,Mpop,University,1100000,0.92,0.02,0.06
25,F,Mpop,University,5300000,0.73,0.12,0.15
29,F,namuh,University,3500000,0.41,0.04,0.55
28,F,Mpop,University,7100000,0.57,0.38,0.05
29,F,Mpop,University,6600000,0.96,0,0.04
24,F,M-able,University,900000,0.98,0.01,0.01
23,M,Mpop,University,1200000,0.56,0.21,0.23
20,F,Toss,High School,700000,0.51,0.25,0.24
23,M,M-able,University,500000,0.88,0.07,0.05
25,F,Mpop,University,8600000,0.23,0.02,0.75
20,M,Toss,University,800000,0.59,0.24,0.17
22,M,M-able,University,2700000,0.6,0.3,0.1
23,M,Mpop,High School,1900000,0.91,0.03,0.06
28,F,Toss,Under Middle,3100000,0.7,0.11,0.19
21,M,M-able,High School,500000,0.38,0.19,0.43
23,M,Mpop,University,2100000,0.61,0.03,0.36
23,M,Toss,Under Middle,2100000,0.47,0.09,0.44
23,F,Toss,University,300000,0.47,0.31,0.22
27,M,Mpop,University,2200000,0.73,0.23,0.04
20,F,Toss,University,1800000,0.53,0.05,0.42
21,M,Toss,University,1300000,0.84,0.07,0.09
29,M,M-able,High School,3000000,0.44,0,0.56
29,M,Toss,University,4400000,0.61,0.03,0.36
20,M,Mpop,High School,900000,0.3,0.49,0.21
24,F,M-able,University,300000,0.67,0.2,0.13
27,F,Toss,University,8200000,0.22,0.68,0.1
23,F,Mpop,High School,200000,0.64,0.25,0.11
22,M,Toss,University,500000,0.11,0.48,0.41
27,M,Mpop,High School,1600000,0.9,0.05,0.05
22,F,Mpop,University,600000,0.96,0.01,0.03
20,F,M-able,High School,2300000,0.57,0.23,0.2
20,M,namuh,University,1000000,0.63,0.01,0.36
24,M,Toss,University,400000,0.78,0.14,0.08
25,F,Mpop,University,8900000,0.19,0.02,0.79
25,M,namuh,University,6900000,0.67,0.27,0.06
26,M,M-able,University,5400000,0.77,0.07,0.16
28,M,M-able,University,5800000,0.27,0.53,0.2
24,F,Toss,High School,1700000,0.28,0.58,0.14
21,F,namuh,High School,600000,0.18,0.63,0.19
24,M,Mpop,High School,2200000,0.01,0.28,0.71
29,M,Mpop,University,4400000,1,0,0
28,M,Toss,University,3500000,0.83,0.14,0.03
21,M,M-able,University,2600000,0.04,0.5,0.46
21,F,M-able,High School,3400000,0.85,0.02,0.13
27,M,Toss,High School,9700000,0.05,0.63,0.32
29,M,Mpop,High School,6100000,0.84,0.09,0.07
29,F,namuh,University,2600000,0.18,0.49,0.33
23,F,Toss,University,1700000,0.59,0.09,0.32
26,F,Toss,University,7500000,0.25,0.26,0.49
27,M,Mpop,University,7500000,0.69,0.04,0.27
22,M,Toss,University,1500000,0.01,0.58,0.41
20,M,Toss,University,3300000,0.29,0.63,0.08
23,M,Mpop,University,3800000,0.7,0.2,0.1
25,M,Toss,University,7800000,0.26,0.04,0.7
29,F,M-able,University,3600000,0.7,0.14,0.16
24,M,namuh,University,1500000,0.15,0.07,0.78
24,M,M-able,High School,2900000,0.19,0.15,0.66
26,M,M-able,University,2300000,0.6,0.33,0.07
24,M,Toss,University,2700000,0.28,0.1,0.62
24,M,M-able,University,2500000,0.74,0.11,0.15
23,M,Toss,High School,2200000,0.09,0.36,0.55
24,M,M-able,High School,600000,0.7,0.11,0.19
24,F,Mpop,University,900000,0.18,0.61,0.21
28,M,M-able,University,4100000,0.05,0.06,0.89
24,F,Toss,Under Middle,600000,0.46,0.39,0.15
23,F,namuh,High School,2500000,0.91,0.05,0.04
27,M,M-able,University,5400000,0.34,0.37,0.29
25,F,namuh,University,9400000,0.65,0.16,0.19
25,M,M-able,University,9300000,0.74,0.22,0.04
20,F,Mpop,University,1100000,0.73,0.25,0.02
21,F,M-able,University,1700000,0.49,0.02,0.49
25,M,Mpop,University,8000000,0.93,0,0.07
29,M,namuh,University,8900000,0.49,0.19,0.32
23,M,Toss,Under Middle,500000,0.98,0.02,0
20,F,M-able,University,500000,0.15,0.1,0.75
25,M,M-able,High School,2700000,0.82,0.03,0.15
20,F,Toss,University,3700000,0.57,0.39,0.04
21,M,namuh,High School,3000000,0.66,0.33,0.01
22,F,Mpop,High School,2700000,0.18,0.12,0.7
24,M,M-able,High School,1700000,0.39,0.53,0.08
